,model,seq_len,hidden_size,num_layers,run_time,device,best_epoch,num_epoch,test_loss,val_loss,train_loss
0,local_LSTM,14,50,1,217.17212963104248,T4_GPU,512,800,0.2333668363084486,0.24274272587947074,0.2747729677870903
1,local_LSTM,14,100,1,213.61554288864136,T4_GPU,680,800,0.2385160665094705,0.24781501952721796,0.26885440545111666
2,local_LSTM,14,200,1,266.1067605018616,T4_GPU,416,800,0.23606522274253586,0.24733351086113298,0.2695301187734406
3,local_LSTM,14,300,1,335.4843053817749,T4_GPU,546,800,0.23664651204494283,0.24906481011262321,0.26526804619139666
4,local_LSTM,14,50,2,276.2914628982544,T4_GPU,405,800,0.23269119703700777,0.24412336278611427,0.27638837508802233
5,local_LSTM,14,100,2,305.3825669288635,T4_GPU,235,800,0.23620636339132497,0.24747089036331996,0.2804609642167771
6,local_LSTM,14,200,2,466.0400130748749,T4_GPU,735,800,0.24486524737836113,0.24459758226188325,0.2597108562830408
7,local_LSTM,30,50,1,239.60563039779663,T4_GPU,403,800,0.2346725232673414,0.2506008395900974,0.27394714143981724
8,local_LSTM,30,100,1,242.86097025871277,T4_GPU,454,800,0.23861427472267316,0.2514579475700081,0.2708193170305597
9,local_LSTM,30,200,1,418.85599732398987,T4_GPU,262,800,0.23901384692171435,0.2543201264880952,0.27535003006499587
10,local_LSTM,30,300,1,685.8256990909576,T4_GPU,307,800,0.24301445370628721,0.25744008646382915,0.26798759069953526
11,local_LSTM,30,50,2,277.3037643432617,T4_GPU,336,800,0.2350299917774283,0.25117359574222975,0.2752111982725691
12,local_LSTM,30,100,2,413.59556102752686,T4_GPU,272,800,0.23627676695456237,0.2516206022980925,0.27612710251641526
13,local_LSTM,30,200,2,853.9187812805176,T4_GPU,288,800,0.24146328220119723,0.25509362819390896,0.27434244279565934
14,local_LSTM,30,300,2,1504.654281616211,T4_GPU,139,800,0.24116892628855519,0.2584140992267823,0.28214864463643763
15,local_LSTM,50,50,1,245.7408845424652,T4_GPU,641,800,0.24130358014787948,0.25320567821028045,0.27159616871353587
16,local_LSTM,50,100,1,319.46434926986694,T4_GPU,546,800,0.2565224186066658,0.25622472103839644,0.2690929228020456
17,local_LSTM,50,200,1,635.2154459953308,T4_GPU,459,800,0.24537839757681992,0.2507398684453305,0.2623852621509551
18,local_LSTM,50,300,1,1076.037442445755,T4_GPU,669,800,0.24488345730689265,0.24215304466985887,0.26396808276301476
19,local_LSTM,50,50,2,300.3161532878876,T4_GPU,482,800,0.2394375251734861,0.2531865976922523,0.27597093377747
20,local_LSTM,50,100,2,624.7560086250305,T4_GPU,551,800,0.24289686844645558,0.25230571905039423,0.2647757265434915
21,local_LSTM,50,200,2,1389.621267080307,T4_GPU,488,800,0.24095073998798422,0.2472209947999172,0.26033895068719587
22,local_LSTM,50,300,2,2479.999126434326,T4_GPU,609,800,0.26689519574565274,0.24492675851567,0.28378674097662965
23,local_LSTM,14,20,1,223.92145609855652,T4_GPU,799,800,0.2381866543279218,0.2433762995297017,0.2701133528222387
24,local_LSTM,14,10,1,405.47855830192566,T4_GPU,1499,1500,0.23821044972275623,0.2437237110342692,0.26727856253619925
25,local_LSTM,14,20,3,589.8252689838409,T4_GPU,748,1500,0.23189395995892148,0.24406813000175798,0.27404657236008917
26,local_LSTM,14,10,3,599.1885001659393,T4_GPU,1479,1500,0.2412551829482188,0.241079908476498,0.2676352988879042
-1,moving_avarage,14,0,0,0.056967735290527344,T4_GPU,0,0,0.29231175780296326,0.28775426745414734,0.342405766248703
-2,regularized_local_LSTM,14,64,1,898.5425913333893,T4_GPU,85,500,0.235960403618785,0.2859217598849737,0.2728435212706468
